id,player_name
302,Dillon Brooks
303,Jonas Valančiūnas
304,Tyus Jones
305,Grayson Allen
306,Desmond Bane
307,Brandon Clarke
308,Gorgui Dieng
309,John Konchar
310,Sean McDermott
311,Xavier Tillman
312,Jontay Porter
313,Jaylen Brown
314,Marcus Smart
315,Jayson Tatum
316,Jeff Teague
317,Daniel Theis
318,Robert Williams
319,Payton Pritchard
320,Grant Williams
321,Aaron Nesmith
322,Semi Ojeleye
323,Carsen Edwards
324,Tremont Waters
325,Tacko Fall
326,Giannis Antetokounmpo
327,Khris Middleton
328,Jrue Holiday
329,Donte DiVincenzo
330,Brook Lopez
331,Bobby Portis
332,Pat Connaughton
333,Bryn Forbes
334,D.J. Augustin
335,Thanasis Antetokounmpo
336,Sam Merrill
337,D.J. Wilson
338,Jordan Nwora
339,Tyler Herro
340,Bam Adebayo
341,Avery Bradley
342,Duncan Robinson
343,Andre Iguodala
344,Kelly Olynyk
345,Goran Dragić
346,Gabe Vincent
347,Precious Achiuwa
348,Kendrick Nunn
349,Maurice Harkless
350,Meyers Leonard
351,KZ Okpala
352,Udonis Haslem
353,Chris Silva
354,Jalen Smith
355,Lauri Markkanen
356,Tomáš Satoranský
357,Chandler Hutchison
358,Ryan Arcidiacono
359,Isaac Bonga
360,Anžejs Pasečņiks
361,Frank Ntilikina
362,Michael Porter
363,Nikola Jokić
364,Monte Morris
365,Gary Harris
366,Paul Millsap
367,Will Barton
368,PJ Dozier
369,Facundo Campazzo
370,Isaiah Hartenstein
371,Bol Bol
372,Markus Howard
373,Zeke Nnaji
374,R.J. Hampton
375,Vlatko Čančar
376,Jamal Murray
377,Andrew Wiggins
378,Stephen Curry
379,Kelly Oubre
380,Juan Toscano-Anderson
381,James Wiseman
382,Kevon Looney
383,Damion Lee
384,Brad Wanamaker
385,Eric Paschall
386,Mychal Mulder
387,Jordan Poole
388,Kent Bazemore
389,Jerami Grant
390,Josh Jackson
391,Mason Plumlee
392,Blake Griffin
393,Killian Hayes
394,Delon Wright
395,Derrick Rose
396,Isaiah Stewart
397,Saddiq Bey
398,Sviatoslav Mykhailiuk
399,Sekou Doumbouya
400,Rodney McGruder
401,Wayne Ellington
402,Deividas Sirvydis
403,Jahlil Okafor
404,Terrence Ross
405,D'Angelo Russell
406,Malik Beasley
407,Ricky Rubio
408,Jarrett Culver
409,Naz Reid
410,Anthony Edwards
411,Juan Hernangómez
412,Jordan McLaughlin
413,Jarred Vanderbilt
414,Jake Layman
415,Ed Davis
416,Jaden McDaniels
417,Max Strus
418,Tristan Thompson
419,Javonte Green
420,T.J. Warren
421,Saben Lee
422,Gary Trent
423,Ja Morant
424,Mason Jones
425,LaMarcus Aldridge
426,Spencer Dinwiddie
427,Josh Okogie
428,Kostas Antetokounmpo
429,Torrey Craig
430,Furkan Korkmaz
431,Kevin Love
432,Isaac Okoro
433,Chimezie Metu
434,Karl-Anthony Towns
435,Dennis Smith
436,Jimmy Butler
437,Marquese Chriss
438,Jaylen Adams
439,Mamadi Diakite
440,Cody Zeller
441,Dylan Windler
442,Obi Toppin
443,Immanuel Quickley
444,De'Anthony Melton
445,J.R. Smith
446,Kemba Walker
447,Troy Daniels
448,Romeo Langford
449,Marcus Morris
450,JaMychal Green
451,Joakim Noah
452,Ben McLemore
453,Chris Clemons
454,Michael Frazier
455,Luc Mbah a Moute
456,DeMarre Carroll
457,Malcolm Miller
458,Rondae Hollis-Jefferson
459,Tyson Chandler
460,Marvin Williams
461,Kyle Korver
462,Ersan İlyasova
463,Dion Waiters
464,Frank Mason
465,Andre Roberson
466,Abdel Nader
467,Emmanuel Mudiay
468,Jarrell Brantley
469,Rayjon Tucker
470,Michael Kidd-Gilchrist
471,Josh Reaves
472,Antonius Cleveland
473,J.J. Barea
474,James Ennis
475,Vic Law
476,Melvin Frazier
