id,matchup_id,game_id,result,team_score,opponent_score,point_diff
192,88,96,L,107,113,-6
193,25,97,W,118,115,3
194,26,97,L,115,118,-3
195,129,98,L,109,117,-8
196,130,98,W,117,109,8
197,88,99,W,110,101,9
198,87,99,L,101,110,-9
199,132,100,W,100,93,7
200,131,100,L,93,100,-7
201,25,101,L,100,115,-15
202,26,101,W,115,100,15
203,129,102,W,112,97,15
204,130,102,L,97,112,-15
205,88,103,L,97,120,-23
206,87,103,W,120,97,23
207,132,104,W,104,103,1
208,131,104,L,103,104,-1
209,26,105,W,116,114,2
210,25,105,L,114,116,-2
211,133,106,L,102,104,-2
212,134,106,W,104,102,2
213,131,107,W,102,99,3
214,132,107,L,99,102,-3
215,135,108,L,78,80,-2
216,136,108,W,80,78,2
217,26,109,W,115,104,11
218,25,109,L,104,115,-11
219,134,110,L,100,104,-4
220,133,110,W,104,100,4
221,131,111,W,112,94,18
222,132,111,L,94,112,-18
223,66,112,W,111,97,14
224,65,112,L,97,111,-14
225,136,113,W,119,107,12
226,135,113,L,107,119,-12
227,133,114,L,80,114,-34
228,134,114,W,114,80,34
229,137,115,L,104,118,-14
230,138,115,W,118,104,14
231,45,116,L,122,131,-9
232,46,116,W,131,122,9
233,135,117,L,107,117,-10
234,136,117,W,117,107,10
235,65,118,L,111,154,-43
236,66,118,W,154,111,43
237,46,119,W,135,115,20
238,45,119,L,115,135,-20
239,134,120,L,114,117,-3
240,133,120,W,117,114,3
241,139,121,L,87,99,-12
242,140,121,W,99,87,12
243,138,122,W,121,106,15
244,137,122,L,106,121,-15
245,141,123,W,150,122,28
246,142,123,L,122,150,-28
247,136,124,L,127,129,-2
248,135,124,W,129,127,2
249,66,125,L,133,135,-2
250,65,125,W,135,133,2
251,143,126,W,110,106,4
252,144,126,L,106,110,-4
253,138,127,W,121,107,14
254,137,127,L,107,121,-14
255,134,128,L,107,119,-12
256,133,128,W,119,107,12
257,46,129,W,116,108,8
258,45,129,L,108,116,-8
259,139,130,L,115,124,-9
260,140,130,W,124,115,9
261,141,131,W,117,92,25
262,142,131,L,92,117,-25
263,66,132,W,130,122,8
264,65,132,L,122,130,-8
265,143,133,W,102,94,8
266,144,133,L,94,102,-8
267,136,134,L,87,124,-37
268,135,134,W,124,87,37
269,137,135,L,96,111,-15
270,138,135,W,111,96,15
271,140,136,W,109,100,9
272,139,136,L,100,109,-9
273,45,137,L,88,111,-23
274,46,137,W,111,88,23
275,133,138,L,98,111,-13
276,134,138,W,111,98,13
277,144,139,L,101,128,-27
278,143,139,W,128,101,27
279,142,140,L,99,104,-5
280,141,140,W,104,99,5
281,135,141,W,124,105,19
282,136,141,L,105,124,-19
283,65,142,W,127,114,13
284,66,142,L,114,127,-13
285,45,143,W,100,93,7
286,46,143,L,93,100,-7
287,137,144,W,122,110,12
288,138,144,L,110,122,-12
289,140,145,W,113,101,12
290,139,145,L,101,113,-12
291,133,146,L,108,123,-15
292,134,146,W,123,108,15
293,142,147,L,110,134,-24
294,141,147,W,134,110,24
295,135,148,L,125,135,-10
296,136,148,W,135,125,10
297,65,149,L,110,118,-8
298,66,149,W,118,110,8
299,144,150,L,101,109,-8
300,143,150,W,109,101,8
301,145,151,L,122,126,-4
302,146,151,W,126,122,4
303,140,152,L,92,109,-17
304,139,152,W,109,92,17
305,147,153,L,103,107,-4
306,148,153,W,107,103,4
307,149,154,L,109,117,-8
308,150,154,W,117,109,8
309,151,155,W,134,96,38
310,152,155,L,96,134,-38
311,153,156,L,127,133,-6
312,154,156,W,133,127,6
313,155,157,W,96,90,6
314,156,157,L,90,96,-6
315,157,158,L,112,118,-6
316,158,158,W,118,112,6
317,159,159,W,136,122,14
318,160,159,L,122,136,-14
319,161,160,L,106,119,-13
320,162,160,W,119,106,13
321,117,161,L,102,128,-26
322,118,161,W,128,102,26
323,163,162,W,134,133,1
324,164,162,L,133,134,-1
325,39,163,W,125,121,4
326,40,163,L,121,125,-4
327,165,164,W,108,104,4
328,166,164,L,104,108,-4
