id,team,opponent
150,Toronto Raptors,Denver Nuggets
151,Philadelphia 76ers,Houston Rockets
152,Houston Rockets,Philadelphia 76ers
153,New Orleans Pelicans,Orlando Magic
154,Orlando Magic,New Orleans Pelicans
155,Washington Wizards,Boston Celtics
156,Boston Celtics,Washington Wizards
157,San Antonio Spurs,Utah Jazz
158,Utah Jazz,San Antonio Spurs
159,Sacramento Kings,Los Angeles Lakers
160,Los Angeles Lakers,Sacramento Kings
161,Milwaukee Bucks,Memphis Grizzlies
162,Memphis Grizzlies,Milwaukee Bucks
163,Portland Trail Blazers,Brooklyn Nets
164,Brooklyn Nets,Portland Trail Blazers
165,Indiana Pacers,Houston Rockets
166,Houston Rockets,Indiana Pacers
167,Miami Heat,Oklahoma City Thunder
168,Oklahoma City Thunder,Miami Heat
169,Houston Rockets,San Antonio Spurs
170,San Antonio Spurs,Houston Rockets
171,Phoenix Suns,Philadelphia 76ers
172,Philadelphia 76ers,Phoenix Suns
173,Portland Trail Blazers,Dallas Mavericks
174,Dallas Mavericks,Portland Trail Blazers
175,Milwaukee Bucks,Washington Wizards
176,Washington Wizards,Milwaukee Bucks
177,New Orleans Pelicans,Sacramento Kings
178,Sacramento Kings,New Orleans Pelicans
179,Brooklyn Nets,Orlando Magic
180,Orlando Magic,Brooklyn Nets
181,Oklahoma City Thunder,Phoenix Suns
182,Phoenix Suns,Oklahoma City Thunder
183,Dallas Mavericks,Utah Jazz
184,Utah Jazz,Dallas Mavericks
185,Toronto Raptors,Milwaukee Bucks
186,Milwaukee Bucks,Toronto Raptors
187,Washington Wizards,Oklahoma City Thunder
188,Oklahoma City Thunder,Washington Wizards
189,Memphis Grizzlies,Toronto Raptors
190,Toronto Raptors,Memphis Grizzlies
191,Philadelphia 76ers,Portland Trail Blazers
192,Portland Trail Blazers,Philadelphia 76ers
193,Brooklyn Nets,Los Angeles Clippers
194,Los Angeles Clippers,Brooklyn Nets
195,Orlando Magic,Boston Celtics
196,Boston Celtics,Orlando Magic
197,Milwaukee Bucks,Dallas Mavericks
198,Dallas Mavericks,Milwaukee Bucks
199,Los Angeles Lakers,Indiana Pacers
200,Indiana Pacers,Los Angeles Lakers
201,Phoenix Suns,Miami Heat
202,Miami Heat,Phoenix Suns
203,Washington Wizards,New Orleans Pelicans
204,New Orleans Pelicans,Washington Wizards
205,Sacramento Kings,Brooklyn Nets
206,Brooklyn Nets,Sacramento Kings
207,Oklahoma City Thunder,Memphis Grizzlies
208,Memphis Grizzlies,Oklahoma City Thunder
209,Portland Trail Blazers,Denver Nuggets
210,Denver Nuggets,Portland Trail Blazers
211,Indiana Pacers,Phoenix Suns
212,Phoenix Suns,Indiana Pacers
213,Toronto Raptors,Orlando Magic
214,Orlando Magic,Toronto Raptors
215,Memphis Grizzlies,Utah Jazz
216,Utah Jazz,Memphis Grizzlies
217,Oklahoma City Thunder,Los Angeles Lakers
218,Los Angeles Lakers,Oklahoma City Thunder
219,Denver Nuggets,San Antonio Spurs
220,San Antonio Spurs,Denver Nuggets
221,Dallas Mavericks,Sacramento Kings
222,Sacramento Kings,Dallas Mavericks
223,Phoenix Suns,Los Angeles Clippers
224,Los Angeles Clippers,Phoenix Suns
225,Orlando Magic,Indiana Pacers
226,Indiana Pacers,Orlando Magic
227,Brooklyn Nets,Milwaukee Bucks
228,Milwaukee Bucks,Brooklyn Nets
229,Los Angeles Lakers,Utah Jazz
230,Utah Jazz,Los Angeles Lakers
231,Toronto Raptors,Miami Heat
232,Miami Heat,Toronto Raptors
233,Memphis Grizzlies,New Orleans Pelicans
234,New Orleans Pelicans,Memphis Grizzlies
235,San Antonio Spurs,Philadelphia 76ers
236,Philadelphia 76ers,San Antonio Spurs
237,Indiana Pacers,Washington Wizards
238,Washington Wizards,Indiana Pacers
239,Denver Nuggets,Oklahoma City Thunder
240,Oklahoma City Thunder,Denver Nuggets
241,Milwaukee Bucks,Houston Rockets
242,Houston Rockets,Milwaukee Bucks
243,Washington Wizards,Brooklyn Nets
244,Brooklyn Nets,Washington Wizards
245,Sacramento Kings,Orlando Magic
246,Orlando Magic,Sacramento Kings
247,Portland Trail Blazers,Boston Celtics
248,Boston Celtics,Portland Trail Blazers
249,Philadelphia 76ers,Indiana Pacers
250,Indiana Pacers,Philadelphia 76ers
251,Los Angeles Lakers,Toronto Raptors
252,Toronto Raptors,Los Angeles Lakers
253,New Orleans Pelicans,Los Angeles Clippers
254,Los Angeles Clippers,New Orleans Pelicans
255,Miami Heat,Denver Nuggets
256,Denver Nuggets,Miami Heat
257,Phoenix Suns,Washington Wizards
258,Washington Wizards,Phoenix Suns
259,Houston Rockets,Dallas Mavericks
260,Dallas Mavericks,Houston Rockets
261,Sacramento Kings,San Antonio Spurs
262,San Antonio Spurs,Sacramento Kings
263,Utah Jazz,New Orleans Pelicans
264,New Orleans Pelicans,Utah Jazz
265,Detroit Pistons,Philadelphia 76ers
266,Philadelphia 76ers,Detroit Pistons
267,Denver Nuggets,Dallas Mavericks
268,Dallas Mavericks,Denver Nuggets
269,Charlotte Hornets,Miami Heat
270,Miami Heat,Charlotte Hornets
271,New York Knicks,Atlanta Hawks
272,Atlanta Hawks,New York Knicks
273,Cleveland Cavaliers,Chicago Bulls
274,Chicago Bulls,Cleveland Cavaliers
275,Los Angeles Clippers,Golden State Warriors
276,Golden State Warriors,Los Angeles Clippers
277,Dallas Mavericks,San Antonio Spurs
278,San Antonio Spurs,Dallas Mavericks
279,New York Knicks,Washington Wizards
280,Washington Wizards,New York Knicks
281,Orlando Magic,Memphis Grizzlies
282,Memphis Grizzlies,Orlando Magic
283,Phoenix Suns,Portland Trail Blazers
284,Portland Trail Blazers,Phoenix Suns
285,Brooklyn Nets,Los Angeles Lakers
286,Los Angeles Lakers,Brooklyn Nets
287,Minnesota Timberwolves,Houston Rockets
288,Houston Rockets,Minnesota Timberwolves
289,Milwaukee Bucks,Denver Nuggets
290,Denver Nuggets,Milwaukee Bucks
291,Charlotte Hornets,Atlanta Hawks
292,Atlanta Hawks,Charlotte Hornets
293,Toronto Raptors,Utah Jazz
294,Utah Jazz,Toronto Raptors
295,Detroit Pistons,New York Knicks
296,New York Knicks,Detroit Pistons
